SampleID,Water_Temp_C,pH,Ammonium_N_mgL,Biomass_Status,Ensifer_adhaerens,Bacillus_megaterium,Pseudomonas_fluorescens,Azospirillum_brasilense,Rhizobium_sp,Aeromonas_hydrophila,Pseudomonas_aeruginosa,Flavobacterium_columnare,Chryseobacterium_sp,Elizabethkingia_sp,Sphingomonas_sp,Microbacterium_sp,Diversity_Index
WGL_433,26.2,8.26,12.54,0,0.02304539419121912,0.0001,0.013057963289064296,0.03678117262906634,0.03754317498794785,0.05604066145024257,0.03548868366616927,0.014860481677200915,0.005927832368261957,0.022040922289205157,0.051711942441593745,0.07020083494828973,2.31
WGL_329,25.1,8.4,17.6,0,0.004974590689224448,0.01757616541716533,0.010899776055642118,0.006963486740936262,0.03100571478181257,0.03578435926658984,0.0328849329145304,0.01770815241744633,0.07194375613141651,0.06888944455538581,0.06611843732133477,0.0014050968077822037,1.45
WGL_205,24.4,7.62,18.12,1,0.0001,0.0031361242510094187,0.0001,0.00841291812955051,0.0001,0.055323668179779836,0.03953081635089979,0.03287104138677257,0.04733911532159594,0.05128296124055143,0.030920567085455854,0.059639000541955825,1.87
WGL_217,21.5,7.12,8.71,1,0.05012633870997746,0.03797998217287934,0.016172395743740048,0.029328047507892415,0.06754361448889068,0.028349409173190315,0.010618725761538467,0.0001,0.0001,0.0001,0.001,0.05230266927735801,2.4
WGL_201,26.8,7.49,15.63,1,0.0001,0.026739807952387864,0.014276273142259734,0.02724982631742734,0.045501077853818475,0.03474972095685491,0.04876044342152488,0.025936009225504937,0.05101861554947911,0.05054267728427102,0.04067427490082169,0.08274270831019881,1.71
WGL_269,28.0,7.78,9.65,0,0.02269546268901875,0.01060151946430869,0.017666336893627326,0.0001,0.01974622079885424,0.07465565481912076,0.0001,0.02889972603570643,0.03385788719433551,0.030368876661630878,0.08688833992321911,0.06135550986633355,1.59
WGL_236,23.3,6.74,8.35,0,0.04928309173296666,0.0001,0.07344384399283305,0.031582001087067,0.03328556548275982,0.0001,0.0480918010725585,0.006453620253116497,0.0001,0.023449007032732016,0.010820504876383485,0.05217132614024793,2.54
WGL_403,26.2,8.88,11.79,0,0.039480911486395445,0.047122172010746824,0.03446578165073125,0.004178296530165781,0.07633986059560466,0.045077214537353236,0.059224190507775276,0.0944698112328801,0.10097137388331708,0.025237736627029387,0.0775644974066131,0.024076905394469793,1.93
WGL_297,22.6,6.89,12.04,0,0.014793772474138597,0.0001,0.05422147992330126,0.05849834591151429,0.012605516755013037,0.052224143930384374,0.05291846603027113,0.0001,0.0001,0.08575344801060902,0.0929107130937219,0.06651779680943935,2.01
WGL_083,28.1,6.34,12.79,1,0.07172041837008705,0.06680915250617535,0.00834867750560988,0.018867449646599758,0.029982241152907492,0.02256357239852492,0.020369773038591187,0.03305098516340334,0.0001,0.01635139155634182,0.066216401256576,0.08355872118364915,2.18
WGL_142,22.6,7.02,12.02,1,0.06559647061176536,0.042973082018238296,0.045462362467126205,0.046814837050337406,0.0854062771175077,0.0001,0.045756744062384065,0.0001,0.0001,0.0001,0.04006746345781364,0.027797654543613246,2.83
WGL_410,25.1,7.38,19.71,0,0.004243223220415119,0.007903375351722662,0.0001,0.0001,0.008767465919220433,0.03659860276022134,0.055861685242226185,0.05560625206014602,0.07855878291771895,0.046579691973393254,0.1234519642935287,0.06172385646607622,2.34
WGL_147,28.8,6.66,4.94,1,0.05131126708923956,0.05527744298442103,0.05467864402105654,0.058773431847268846,0.005134663629361012,0.02868336575971142,0.009563036142643047,0.0001,0.032509962494071454,0.01380972012517515,0.05499788271111104,0.01955858425000078,1.86
WGL_052,33.3,7.24,7.9,1,0.0831027176155032,0.05064988430644241,0.06864344854891676,0.0001,0.003010175385797134,0.0001,0.02517711361467296,0.011524833280145825,0.0001,0.0001,0.02283426301982295,0.01216552869601386,2.47
WGL_166,30.5,7.35,19.7,1,0.03418993981403447,0.0001,0.0001,0.000801690993464773,0.012812590363690344,0.019685848568733406,0.05936296243575795,0.051749989123090104,0.0620828671120623,0.036879135016966526,0.026807227037898146,0.05215631659631943,1.24
WGL_271,26.0,7.79,15.42,0,0.0001,0.0001,0.030052914419102864,0.011763613551312715,0.058237006861291574,0.0416203624211635,0.02101110914659497,0.08322151948747297,0.013383349824431526,0.007960903540646002,0.0010102682005059746,0.07914553570044416,2.11
WGL_265,27.0,7.37,6.64,0,0.0001,0.055685337748603084,0.02645218726610643,0.010613008749676599,0.030659731442825394,0.05802491154770735,0.014574203730679837,0.08419778882994342,0.030754961108001525,0.008692599054530518,0.08257434492132079,0.0724729705957083,1.73
